ts_code,year,month,fund_name,上证50,消费50,红利指数,yearmth
000006.OF,2022,12,西部利得量化成长A,0.038621969871438636,0.03222251356527482,0.01571626605061941,202212
000762.OF,2023,3,汇添富绝对收益策略A,0.04595346582452037,0.023091539368523824,0.0,202303
001266.OF,2023,3,国投瑞银招财,0.028739156256241682,0.028739156256241682,0.0,202303
001364.OF,2023,3,大成景润A,0.04738248020244443,0.0,0.04738248020244443,202303
001382.OF,2023,3,易方达国企改革,0.2908556497593384,0.09947393581154904,0.09803401398502383,202303
001441.OF,2023,3,易方达瑞信I,0.033897722456380265,0.008348948103089343,0.01470890382164251,202303
001498.OF,2023,3,建信鑫荣回报A,0.07339458892886393,0.04957067749299117,0.0,202303
001520.OF,2023,3,国投瑞银研究精选,0.08974260330418346,0.13268639886732664,0.0,202303
001530.OF,2022,12,万家瑞富A,0.034071346035879656,0.019591052119063958,0.020084180498308894,202212
001532.OF,2023,3,华安文体健康主题A,0.029238209335893765,0.08064364096162692,0.0,202303
001562.OF,2023,3,易方达瑞和,0.038598723588508854,0.009014605988202825,0.017184181686588442,202303
001576.OF,2022,12,国泰智能装备A,0.07774238899536862,0.0,0.0,202212
001579.OF,2023,3,国泰大农业A,0.15867625440764974,0.12156669667915401,0.0,202303
001596.OF,2023,3,信诚新泽回报A,0.1704242026635631,0.07814801007148836,0.009816262621656418,202303
001603.OF,2023,3,易方达安盈回报A,0.036580370077376106,0.0,0.0,202303
001633.OF,2022,12,万家瑞祥A,0.11546371295733975,0.010840515206150493,0.01165471230761406,202212
001648.OF,2023,3,工银新价值A,0.09577460745372039,0.0,0.039464076010760935,202303
001656.OF,2023,3,农银汇理中国优势,0.05507640018504986,0.027194957783845966,0.0,202303
001657.OF,2023,3,长安鑫富领先A,0.07965673668284168,0.3994148831562597,0.0,202303
001659.OF,2022,12,富安达新动力,0.014299240233906017,0.0,0.0,202212
001660.OF,2023,3,富安达行业轮动,0.36971021013442124,0.1385639582825226,0.0,202303
001678.OF,2023,3,英大国企改革主题,0.05866222298377963,0.12631684705002705,0.0,202303
001707.OF,2023,3,诺安高端制造A,0.028021789180999016,0.0,0.0,202303
001710.OF,2023,3,安信新趋势A,0.033813605472176204,0.0,0.021371219101145082,202303
001720.OF,2023,3,工银新增利,0.13232220655344135,0.02834572898611738,0.0,202303
001721.OF,2023,3,工银新增益,0.031313200393836726,0.007941114798633252,0.0,202303
001722.OF,2023,3,工银银和利,0.010585241211853629,0.02741345174142528,0.01957717333159137,202303
001725.OF,2022,12,汇添富中国高端制造A,0.08021623453785323,0.0,0.0,202212
001745.OF,2023,3,易方达瑞富I,0.026937229367609276,0.0062917583601100405,0.0,202303
001747.OF,2023,3,易方达瑞祺I,0.07961360476876467,0.08023170786450254,0.0218667850158753,202303
001749.OF,2023,3,招商中国机遇,0.03564619724700841,0.0,0.03564619724700841,202303
001756.OF,2023,3,嘉实策略优选,0.00899444696232655,0.0,0.0,202303
001758.OF,2023,3,嘉实研究增强,0.07065753800996899,0.0,0.0,202303
