index_code,名称,trade_year,trade_week,trade_date,total_mv,total_earnings,total_earnings_ttm,total_book_value,pe,pb,pe_ttm
000015.SH,红利指数,2019,1,20190104,1086452503.5835001,146683743.3533793,158014497.4509054,1189749499.8426638,7.4067683217362505,0.9131775249556113,6.875650785910055
000015.SH,红利指数,2019,2,20190111,1092621284.5017002,146683712.90482715,158014513.20826045,1189754128.2807364,7.44882484131436,0.9183588932619222,6.914689431480537
000015.SH,红利指数,2019,3,20190118,1117312151.1119,146683704.34050727,158243137.00965205,1194384213.675978,7.617152540122687,0.9354712983631358,7.060730545576518
000015.SH,红利指数,2019,4,20190125,1139008454.873,146683645.62702647,158405605.7678545,1198238285.21346,7.765067809735004,0.9505692389640942,7.190455472530636
000015.SH,红利指数,2019,5,20190201,1167045004.1959,146683380.63603583,157364692.49338588,1197812014.841339,7.9562183468601555,0.9743139906227151,7.416180756334217
000015.SH,红利指数,2019,7,20190215,1151768689.8383,146683355.83371255,157364292.06230733,1197834773.9234676,7.8520748539732175,0.9615422050786857,7.319123511083855
000015.SH,红利指数,2019,8,20190222,1172810029.0137,146722404.05989772,157325479.8206981,1197904284.2130122,7.993394304900525,0.9790515356443538,7.454673142267463
000015.SH,红利指数,2019,9,20190301,1239502982.4303,146766173.74956402,157358333.7282856,1198068515.1871328,8.445426836195503,1.0345843887206194,7.8769452692005455
000015.SH,红利指数,2019,10,20190308,1184780166.8782,146766218.23568878,157384110.8108602,1198401096.5463555,8.072567250970428,0.9886340811040567,7.527952858608679
000015.SH,红利指数,2019,11,20190315,1195552202.0837,146748832.4248576,157352976.58341977,1198659806.3675892,8.146928206027669,0.997407434313405,7.597900135367855
000015.SH,红利指数,2019,12,20190322,1206625743.1408,148114039.25347075,157549136.16705078,1199553032.818026,8.146599398831297,1.0058961214129554,7.658726493183712
000015.SH,红利指数,2019,13,20190329,1200000697.8945,153105031.4026769,157474487.63036782,1209324197.0522528,7.837761351803093,0.9922903228261876,7.620286409257626
000015.SH,红利指数,2019,14,20190404,1251616840.6006,155428218.10271695,157177427.97097176,1219031753.2078245,8.05270018455369,1.0267303023953473,7.9630825924429445
000015.SH,红利指数,2019,15,20190412,1232180069.7918,155428268.39650914,157175981.39276093,1219525404.8024368,7.927644581669124,1.0103767128913672,7.839493406519622
000015.SH,红利指数,2019,16,20190419,1274104390.5654001,155834541.60838985,157028214.03676307,1217420922.3735938,8.176007561707388,1.0465602875308657,8.113856470832113
000015.SH,红利指数,2019,17,20190426,1214042081.5181,156140878.5534226,156750745.91136974,1222141704.0503004,7.775299414001461,0.993372599506786,7.745048193930418
000015.SH,红利指数,2019,18,20190430,1233052565.4147,157130836.8684937,158620240.4914306,1264140347.0120654,7.847298404237923,0.9754079666305685,7.773614272645837
000015.SH,红利指数,2019,19,20190510,1184502242.8288,157131126.97312316,158619937.04285204,1263921748.3487473,7.538304253564005,0.9371642226872787,7.4675495710781945
000015.SH,红利指数,2019,20,20190517,1170922292.4065,157130921.76982722,158619847.5238377,1263747794.7309256,7.451889667660209,0.92654744664129,7.381940600028201
000015.SH,红利指数,2019,21,20190524,1180392366.1473,157130587.88406396,158619915.14380664,1263608930.3176281,7.51217431336941,0.9341437353173736,7.441640383410512
000015.SH,红利指数,2019,22,20190531,1181924111.5801,157130773.8110319,158619989.10528862,1262872731.8937933,7.5219136450094854,0.9359012050309271,7.451293612153533
000015.SH,红利指数,2019,23,20190606,1190561193.9824,157131146.0160365,158619819.82074666,1260920548.2514727,7.576863175559692,0.9442000097733037,7.505753034695357
000015.SH,红利指数,2019,24,20190614,1199588058.6009,157130652.73802048,158619760.30700892,1257160668.2217255,7.634335107109492,0.9542042548131394,7.562664678594233
000015.SH,红利指数,2019,25,20190621,1221812073.345,157130642.20559928,158620083.2498115,1248421124.7750185,7.775772161271427,0.9786858369327788,7.702757736047601
000015.SH,红利指数,2019,26,20190628,1215318660.0104,157130926.89370024,158620339.45428833,1248076177.5057545,7.734433214618332,0.9737535912584924,7.661808467889669
000015.SH,红利指数,2019,27,20190705,1221674508.979,157130657.7567982,158620084.21621174,1239829608.8248196,7.774895914137066,0.9853567782890522,7.701890432196222
000015.SH,红利指数,2019,28,20190712,1187801747.4894,157131252.42881083,158627881.9266685,1224747631.344717,7.559296633415048,0.9698338801318993,7.487975840454735
000015.SH,红利指数,2019,29,20190719,1188104947.2483,157130320.2551546,158967171.16898042,1222616855.4396899,7.561271085803217,0.9717720984805348,7.473901299944233
000015.SH,红利指数,2019,30,20190726,1203016601.1038,157130813.87049067,159316187.55600023,1221071798.4277263,7.656146948334033,0.9852136480859075,7.551125968796707
000015.SH,红利指数,2019,31,20190802,1179407982.0649,157131036.6435963,159341516.620285,1220010076.1372833,7.505888125335966,0.9667198698875217,7.4017619957481635
000015.SH,红利指数,2019,32,20190809,1154441450.9383,157130907.9217928,159405058.25555736,1220007294.5024726,7.347004266741006,0.946257826605118,7.242188319316099
000015.SH,红利指数,2019,33,20190816,1155388170.2167,157130978.50811896,159351913.83200198,1219837111.1445568,7.353025998988488,0.9471659450765643,7.2505446745671165
000015.SH,红利指数,2019,34,20190823,1157584315.2215002,157130756.6128132,159150420.0392194,1221187013.0004528,7.367012927163014,0.9479173156102594,7.27352346878027
000015.SH,红利指数,2019,35,20190830,1142585521.6865,157130683.1881183,159481641.28701243,1224618689.772324,7.2715621068011655,0.9330132973055676,7.16437022133624
000015.SH,红利指数,2019,36,20190906,1178929240.5891001,157130807.6045685,160118951.71333736,1234174834.838903,7.502852295877993,0.9552368167861613,7.362833868034245
